type,id,lat/u,lon/v,-/dist,name
node,104163490,40.5059517,-74.4661146,,
node,104163583,40.4704065,-74.4361904,,
node,104163585,40.4699818,-74.4366101,,
node,104163594,40.4698373,-74.436793,,
node,104163596,40.4700251,-74.4370247,,
node,104163598,40.4703131,-74.4373977,,
node,104163600,40.4705548,-74.4377243,,
node,104163603,40.471037,-74.4383841,,
node,104163605,40.4711214,-74.438534,,
node,104163607,40.4712445,-74.4384132,,
node,104163609,40.471663,-74.4389731,,
node,104163612,40.4722731,-74.4397689,,
node,104163618,40.471244,-74.4382376,,
node,104163648,40.4707121,-74.4323997,,
node,104164498,40.4780671,-74.4321148,,
node,104164501,40.4780385,-74.4323439,,
node,104164505,40.4775926,-74.4322722,,
node,104164507,40.476932,-74.43214,,
node,104164509,40.476397,-74.432058,,
node,104164649,40.5074261,-74.4613048,,
node,104164651,40.5071885,-74.4611718,,
node,104164654,40.5063767,-74.4605563,,
node,104164656,40.5050133,-74.4598368,,
node,104164658,40.5050693,-74.4597398,,
node,104164660,40.5047385,-74.4594136,,
node,104164662,40.5045635,-74.4590437,,
node,104164664,40.5040023,-74.4578332,,
node,104165564,40.4990623,-74.4372178,,
node,104165908,40.5271871,-74.474155,,
node,104165910,40.5272825,-74.4737736,,
node,104166782,40.5065548,-74.4363767,,
node,104166784,40.5070759,-74.4352982,,
node,104167106,40.5028595,-74.4198567,,
node,104167439,40.4881353,-74.4349524,,
node,104167441,40.4883107,-74.4349769,,
node,104167448,40.4883579,-74.4348608,,
node,104167450,40.4883412,-74.4347558,,
node,104167451,40.488321,-74.4347092,,
node,104167453,40.4882784,-74.4346408,,
node,104167456,40.4876584,-74.4335263,,
node,104168045,40.5200871,-74.4743435,,
node,104169020,40.5057743,-74.4518536,,
node,104169025,40.5062399,-74.4516723,,
node,104169045,40.5067657,-74.4537325,,
node,104169051,40.5069458,-74.4550511,,
node,104169053,40.507301,-74.4564376,,
node,104169055,40.5073804,-74.4567602,,
node,104169057,40.5074287,-74.4569855,,
node,104169059,40.5074419,-74.4571872,,
node,104169061,40.5074503,-74.4572956,,
node,104169090,40.5069367,-74.4576368,,
node,104169590,40.4808529,-74.4415854,,
node,104169592,40.480454,-74.440928,,
node,104169595,40.480335,-74.440764,,
node,104169597,40.48021,-74.440635,,
node,104169599,40.480164,-74.440566,,
node,104169602,40.480111,-74.440566,,
node,104169604,40.480019,-74.440626,,
node,104169606,40.479975,-74.440667,,
node,104169608,40.479854,-74.440747,,
node,104169610,40.479683,-74.440825,,
node,104169612,40.479571,-74.440859,,
node,104169614,40.4794451,-74.44101,,
node,104169616,40.4793802,-74.4410801,,
node,104169618,40.4791719,-74.4409659,,
node,104169620,40.4789387,-74.4406096,,
node,104169622,40.478858,-74.440712,,
node,104169624,40.478747,-74.440807,,
node,104169973,40.5325695,-74.4318043,,
node,104170551,40.4847774,-74.422984,,
node,104172579,40.5117493,-74.4494715,,
node,104172838,40.4996294,-74.4333901,,
node,104172840,40.4996624,-74.4334381,,
node,104172842,40.4996754,-74.4334831,,
node,104172843,40.4996774,-74.4335321,,
node,104172846,40.4996723,-74.4335657,,
node,104172848,40.4996407,-74.433614,,
node,104172850,40.4996071,-74.4336417,,
node,104172852,40.4995711,-74.433647,,
node,104172854,40.4995328,-74.4336372,,
node,104172858,40.4995006,-74.4336097,,
node,104172860,40.49948,-74.4335723,,
node,104172862,40.4994736,-74.4335193,,
node,104172864,40.4994778,-74.4334728,,
node,104172866,40.4995263,-74.4332822,,
node,104173024,40.5045535,-74.417498,,
node,104173340,40.5327499,-74.4554925,,
node,104173423,40.5334623,-74.4512551,,
node,104173540,40.511057,-74.4477763,,
node,104173962,40.485651,-74.465638,,
node,104173964,40.485098,-74.466185,,
node,104173966,40.484552,-74.466726,,
node,104174449,40.4783602,-74.432168,,
node,104174451,40.4781544,-74.4321278,,
node,104174455,40.476418,-74.431812,,
node,104174457,40.476325,-74.432889,,
node,104174985,40.4737177,-74.4776041,,
node,104175019,40.4762503,-74.4804573,,
node,104175967,40.5323534,-74.4565635,,
node,104175969,40.532515,-74.456344,,
node,104176581,40.4647716,-74.4544913,,
node,104176593,40.4647164,-74.4545035,,
node,104176595,40.4646627,-74.4544501,,
node,104176597,40.4646481,-74.4543667,,
node,104176601,40.4646718,-74.4542939,,
node,104176605,40.4647246,-74.45426,,
node,104176607,40.465054,-74.454159,,
node,104176615,40.4651184,-74.4542084,,
node,104176617,40.465133,-74.45429,,
node,104176621,40.4651013,-74.4543782,,
node,104176769,40.468287,-74.473094,,
node,104176771,40.468438,-74.473122,,
node,104176773,40.468402,-74.473272,,
node,104176775,40.468337,-74.473366,,
node,104176777,40.468237,-74.473403,,
node,104176779,40.468165,-74.473403,,
node,104176781,40.468108,-74.473357,,
node,104176783,40.468072,-74.473281,,
node,104176785,40.468058,-74.47316,,
node,104176786,40.468101,-74.473084,,
node,104176788,40.468194,-74.473066,,
node,104176791,40.4914618,-74.4250921,,
node,104176793,40.4914134,-74.4251288,,
node,104176795,40.4911461,-74.4255536,,
node,104176797,40.4910998,-74.425625,,
node,104176799,40.4909817,-74.4257549,,
node,104176801,40.4907844,-74.4258574,,
node,104176803,40.4905947,-74.4258755,,
node,104176805,40.4907668,-74.4260747,,
node,104176807,40.490881,-74.426281,,
